"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39043","Catalog with 1000 offers","","Mon Sep 01 12:33:36 GMT 2025","passed","Mon Sep 01 12:34:15 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_of1000Assets_shouldContainAll"
"","4066","transferData_failing_withProxyOriginalResponse()","","Mon Sep 01 12:34:15 GMT 2025","passed","Mon Sep 01 12:34:19 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp2025to2025","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp2025to2025","transferData_failing_withProxyOriginalResponse"
"","41","Policy is accepted In force date policy","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","51","Policy is accepted Data Usage End Date Definition","","Mon Sep 01 12:33:49 GMT 2025","passed","Mon Sep 01 12:33:49 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","1264","The authentication token misses required claims: audience","","Mon Sep 01 12:33:10 GMT 2025","passed","Mon Sep 01 12:33:11 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAudience"
"","27","Policy is accepted DataExchangeGovernance use case","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","24574","transferFile_largeFile(long, Vault) File size bytes: 1073741824","","Mon Sep 01 12:32:34 GMT 2025","passed","Mon Sep 01 12:32:59 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_largeFile"
"","31","Provider gets 400 when no asset selector is used","","Mon Sep 01 12:33:03 GMT 2025","passed","Mon Sep 01 12:33:03 GMT 2025","","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","org.eclipse.tractusx.edc.tests.validators.EmptyAssetSelectorValidatorTest","shouldFail_whenContractDefinitionHasNoAssetSelector"
"","76","BusinessPartnerDeleted event is published","","Mon Sep 01 12:34:16 GMT 2025","passed","Mon Sep 01 12:34:16 GMT 2025","","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","org.eclipse.tractusx.edc.tests.bpn.events.BusinessPartnerEventTest","shouldPublishBusinessPartnerDeletedEvent"
"","12321","shouldTransferOneGbFile()","","Mon Sep 01 12:33:39 GMT 2025","passed","Mon Sep 01 12:33:52 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","shouldTransferOneGbFile"
"","41","Policy is accepted Confidential Information Measures","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","42","Policy is not accepted Policy with unknown actions types","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","24","Policy is accepted Liability","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","21","Verifier should reject an auth token without the Bearer prefix","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","presentationResponse_rejectMissingBearerPrefix"
"","58","Policy is accepted Affiliates BPNL","","Mon Sep 01 12:33:49 GMT 2025","passed","Mon Sep 01 12:33:49 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","31","Verifier should resolve the DID from the prover's ID token","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","presentationResponse_endpointDiscovery"
"","29","Policy is accepted Data Usage End Date","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","23","Policy is accepted Warranty Definition","","Mon Sep 01 12:33:52 GMT 2025","passed","Mon Sep 01 12:33:52 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","27","Policy is not accepted Usage policy obligation with not allowed constraints","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidPolicyDefinitions"
"","46","Policy is accepted Affiliates Region","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","2515","Consumer gets cached catalog with provider entry","","Mon Sep 01 12:34:35 GMT 2025","passed","Mon Sep 01 12:34:38 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.FederatedCatalogTest","org.eclipse.tractusx.edc.tests.catalog.FederatedCatalogTest","requestCatalog_fulfillsPolicy_shouldReturnOffer"
"","7129","transferFile_success()","","Mon Sep 01 12:34:06 GMT 2025","passed","Mon Sep 01 12:34:13 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","org.eclipse.tractusx.edc.tests.transfer.S3ToS3EndToEndTest","transferFile_success"
"","23","Policy is accepted Exclusive Usage","","Mon Sep 01 12:33:52 GMT 2025","passed","Mon Sep 01 12:33:52 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","41","Policy is accepted Access policy with empty permission","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","43","Policy is accepted Business Partner Group","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","3968","transferData_success_withProxyOriginalResponse()","","Mon Sep 01 12:35:50 GMT 2025","passed","Mon Sep 01 12:35:54 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_success_withProxyOriginalResponse"
"","17306","Malicious actor should not impersonate a consumer sending a valid consumer VP","","Mon Sep 01 12:33:45 GMT 2025","passed","Mon Sep 01 12:34:02 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","org.eclipse.tractusx.edc.tests.transfer.CredentialSpoofTest","shouldNotImpersonateConsumer_withConsumerPresentation"
"","566","refreshEdr_whenNotAuthorized()","","Mon Sep 01 12:32:37 GMT 2025","passed","Mon Sep 01 12:32:38 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","refreshEdr_whenNotAuthorized"
"","2355","Verify that the consumer receives only the offers he is permitted to (using the legacy CX policy)","","Mon Sep 01 12:33:33 GMT 2025","passed","Mon Sep 01 12:33:35 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpn_UsingLegacyCxPolicy_shouldReject"
"","31","5.4.2.3 Verifier should reject an empty 'presentation' array","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_02_03_presentationResponse_emptyPresentations"
"","26","Policy is accepted Affiliates Region (IS_ANY_OF, one element)","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","30","Policy is accepted Managed Legal Entity Region","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","15234","transferData_withTerminate()","","Mon Sep 01 12:35:31 GMT 2025","passed","Mon Sep 01 12:35:46 GMT 2025","","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest.Dsp08to08","org.eclipse.tractusx.edc.tests.transfer.TransferPullEndToEndTest$Dsp08to08","transferData_withTerminate"
"","42","Policy is accepted Contract reference","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","1844","Verify the refresh endpoint is not called when auto_refresh=false","","Mon Sep 01 12:32:29 GMT 2025","passed","Mon Sep 01 12:32:31 GMT 2025","","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","org.eclipse.tractusx.edc.tests.edrv2.EdrCacheApiEndToEndTest","getEdrWithRefresh_whenNotAutorefresh_shouldNotCallEndpoint"
"","2047","transferMultipleFiles()","","Mon Sep 01 12:33:52 GMT 2025","passed","Mon Sep 01 12:33:54 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","org.eclipse.tractusx.edc.dataplane.transfer.test.S3ToS3Test","transferMultipleFiles"
"","42","Policy is accepted Exclusive Usage","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","4507","The authentication token misses required claims: token","","Mon Sep 01 12:32:56 GMT 2025","passed","Mon Sep 01 12:33:00 GMT 2025","","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","org.eclipse.tractusx.edc.dataplane.tokenrefresh.e2e.DataPlaneTokenRefreshEndToEndTest","refresh_invalidAuthenticationToken_missingAccessToken"
"","22","Policy is accepted Affiliates BPNL","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","49","Policy is accepted Managed Legal Entity BPNL","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","513","Verify that the consumer receives only the offers he is permitted to (using the legacy BPN validation)","","Mon Sep 01 12:33:35 GMT 2025","passed","Mon Sep 01 12:33:36 GMT 2025","","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","org.eclipse.tractusx.edc.tests.catalog.CatalogTest","requestCatalog_filteredByBpnLegacy_WithNamespace_shouldReject"
"","46","4.3.3 Verify invalid access token - sub does not match DID document id","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection4Test","verifier_04_03_03_idTokenIncorrectSub"
"","2079","transferFile_s3ToAzureMultipleFiles_whenConsumerDefinesBloblName_success(Vault)","","Mon Sep 01 12:33:20 GMT 2025","passed","Mon Sep 01 12:33:22 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","org.eclipse.tractusx.edc.dataplane.transfer.test.MultiCloudTest","transferFile_s3ToAzureMultipleFiles_whenConsumerDefinesBloblName_success"
"","123","5.4.3.6 Verifier should reject Presentations where at least 1 credential is revoked/suspended","","Mon Sep 01 12:32:25 GMT 2025","passed","Mon Sep 01 12:32:25 GMT 2025","","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","org.eclipse.dataspacetck.dcp.verification.presentation.verifier.PresentationFlowSection5Test","verifier_05_04_03_06_presentationResponse_credentialRevoked"
"","69","Policy is accepted Usage Purpose","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","52","Policy is accepted Data Usage End Duration Days","","Mon Sep 01 12:33:49 GMT 2025","passed","Mon Sep 01 12:33:49 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
"","2045","transferFile_targetContainerNotExist_shouldFail(Vault)","","Mon Sep 01 12:33:05 GMT 2025","passed","Mon Sep 01 12:33:07 GMT 2025","","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","org.eclipse.tractusx.edc.dataplane.transfer.test.AzureToAzureTest","transferFile_targetContainerNotExist_shouldFail"
"","28","Policy is accepted MembershipCredential","","Mon Sep 01 12:33:51 GMT 2025","passed","Mon Sep 01 12:33:51 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldNotAcceptInvalidNamespacePolicyDefinitions"
"","60","Policy is accepted Version Changes","","Mon Sep 01 12:33:50 GMT 2025","passed","Mon Sep 01 12:33:50 GMT 2025","","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","org.eclipse.tractusx.edc.tests.policy.PolicyDefinitionEndToEndTest","shouldAcceptValidPolicyDefinitions"
